1	 1:25	 2:0	 3:226802	 4:2	 5:7	 6:2	 7:7	 8:1	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:38	 2:0	 3:89814	 4:3	 5:9	 6:0	 7:9	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:28	 2:4	 3:336951	 4:5	 5:12	 6:0	 7:12	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:44	 2:0	 3:160323	 4:1	 5:10	 6:0	 7:7	 8:2	 9:4	 10:1	 11:7688	 12:0	 13:40	 14:0
1	 1:18	 2:0	 3:103497	 4:1	 5:10	 6:2	 7:0	 8:1	 9:0	 10:0	 11:0	 12:0	 13:30	 14:0
1	 1:34	 2:0	 3:198693	 4:12	 5:6	 6:2	 7:2	 8:3	 9:0	 10:1	 11:0	 12:0	 13:30	 14:0
1	 1:29	 2:0	 3:227026	 4:3	 5:9	 6:2	 7:0	 8:5	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:63	 2:1	 3:104626	 4:4	 5:15	 6:0	 7:5	 8:2	 9:0	 10:1	 11:3103	 12:0	 13:32	 14:0
1	 1:24	 2:0	 3:369667	 4:1	 5:10	 6:2	 7:2	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:55	 2:0	 3:104996	 4:8	 5:4	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:10	 14:0
1	 1:65	 2:0	 3:184454	 4:3	 5:9	 6:0	 7:7	 8:2	 9:0	 10:1	 11:6418	 12:0	 13:40	 14:0
1	 1:36	 2:3	 3:212465	 4:0	 5:13	 6:0	 7:8	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:26	 2:0	 3:82091	 4:3	 5:9	 6:2	 7:8	 8:3	 9:0	 10:0	 11:0	 12:0	 13:39	 14:0
1	 1:58	 2:0	 3:299831	 4:3	 5:9	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:35	 14:0
1	 1:48	 2:0	 3:279724	 4:3	 5:9	 6:0	 7:7	 8:2	 9:0	 10:1	 11:3103	 12:0	 13:48	 14:0
1	 1:43	 2:0	 3:346189	 4:10	 5:14	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:20	 2:5	 3:444554	 4:1	 5:10	 6:2	 7:2	 8:1	 9:0	 10:1	 11:0	 12:0	 13:25	 14:0
1	 1:43	 2:0	 3:128354	 4:3	 5:9	 6:0	 7:8	 8:0	 9:0	 10:0	 11:0	 12:0	 13:30	 14:0
1	 1:37	 2:0	 3:60548	 4:3	 5:9	 6:4	 7:7	 8:5	 9:0	 10:0	 11:0	 12:0	 13:20	 14:0
1	 1:40	 2:0	 3:85019	 4:13	 5:16	 6:0	 7:5	 8:2	 9:1	 10:1	 11:0	 12:0	 13:45	 14:0
1	 1:34	 2:0	 3:107914	 4:0	 5:13	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:47	 14:0
1	 1:34	 2:0	 3:238588	 4:1	 5:10	 6:2	 7:2	 8:1	 9:4	 10:0	 11:0	 12:0	 13:35	 14:0
1	 1:72	 2:0	 3:132015	 4:8	 5:4	 6:1	 7:0	 8:3	 9:0	 10:0	 11:0	 12:0	 13:6	 14:0
1	 1:25	 2:0	 3:220931	 4:0	 5:13	 6:2	 7:5	 8:3	 9:0	 10:1	 11:0	 12:0	 13:43	 14:37
1	 1:25	 2:0	 3:205947	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:45	 2:1	 3:432824	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:7298	 12:0	 13:90	 14:0
1	 1:22	 2:0	 3:236427	 4:3	 5:9	 6:2	 7:8	 8:1	 9:0	 10:1	 11:0	 12:0	 13:20	 14:0
1	 1:23	 2:0	 3:134446	 4:3	 5:9	 6:3	 7:7	 8:5	 9:4	 10:1	 11:0	 12:0	 13:54	 14:0
1	 1:54	 2:0	 3:99516	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:35	 14:0
1	 1:32	 2:1	 3:109282	 4:1	 5:10	 6:2	 7:5	 8:3	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
1	 1:46	 2:5	 3:106444	 4:1	 5:10	 6:0	 7:4	 8:2	 9:4	 10:1	 11:7688	 12:0	 13:38	 14:0
1	 1:56	 2:1	 3:186651	 4:2	 5:7	 6:4	 7:2	 8:5	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
1	 1:24	 2:1	 3:188274	 4:0	 5:13	 6:2	 7:3	 8:3	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:23	 2:4	 3:258120	 4:1	 5:10	 6:0	 7:12	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:26	 2:0	 3:43311	 4:3	 5:9	 6:1	 7:4	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:65	 2:0	 3:191846	 4:3	 5:9	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:36	 2:4	 3:403681	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:22	 2:0	 3:248446	 4:14	 5:3	 6:2	 7:11	 8:3	 9:0	 10:1	 11:0	 12:0	 13:50	 14:30
1	 1:17	 2:0	 3:269430	 4:12	 5:6	 6:2	 7:7	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:20	 2:0	 3:257509	 4:3	 5:9	 6:2	 7:1	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:65	 2:0	 3:136384	 4:10	 5:14	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:44	 2:2	 3:120277	 4:6	 5:11	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:45	 14:0
1	 1:36	 2:0	 3:465326	 4:3	 5:9	 6:0	 7:9	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:29	 2:0	 3:103634	 4:2	 5:7	 6:0	 7:2	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:20	 2:5	 3:138371	 4:1	 5:10	 6:2	 7:9	 8:1	 9:0	 10:1	 11:0	 12:0	 13:32	 14:0
1	 1:28	 2:0	 3:242832	 4:6	 5:11	 6:0	 7:5	 8:0	 9:0	 10:0	 11:0	 12:0	 13:36	 14:0
1	 1:39	 2:0	 3:290208	 4:8	 5:4	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:19
1	 1:54	 2:0	 3:186272	 4:1	 5:10	 6:0	 7:10	 8:2	 9:0	 10:1	 11:3908	 12:0	 13:50	 14:0
1	 1:52	 2:0	 3:201062	 4:2	 5:7	 6:3	 7:11	 8:3	 9:4	 10:0	 11:0	 12:0	 13:18	 14:0
1	 1:56	 2:2	 3:131916	 4:3	 5:9	 6:4	 7:4	 8:3	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
1	 1:18	 2:0	 3:54440	 4:1	 5:10	 6:2	 7:2	 8:1	 9:0	 10:1	 11:0	 12:0	 13:20	 14:0
1	 1:39	 2:0	 3:280215	 4:3	 5:9	 6:1	 7:6	 8:1	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:21	 2:0	 3:214399	 4:1	 5:10	 6:2	 7:2	 8:1	 9:0	 10:0	 11:0	 12:1721	 13:24	 14:0
1	 1:22	 2:0	 3:54164	 4:3	 5:9	 6:2	 7:2	 8:3	 9:0	 10:1	 11:14084	 12:0	 13:60	 14:0
1	 1:38	 2:0	 3:219446	 4:7	 5:5	 6:5	 7:4	 8:3	 9:0	 10:1	 11:0	 12:0	 13:54	 14:19
1	 1:21	 2:0	 3:110677	 4:1	 5:10	 6:2	 7:8	 8:1	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:63	 2:0	 3:145985	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:34	 2:4	 3:382078	 4:0	 5:13	 6:0	 7:4	 8:2	 9:0	 10:1	 11:3103	 12:0	 13:50	 14:0
1	 1:42	 2:2	 3:170721	 4:3	 5:9	 6:0	 7:4	 8:2	 9:0	 10:1	 11:5178	 12:0	 13:50	 14:0
1	 1:33	 2:0	 3:269705	 4:3	 5:9	 6:0	 7:6	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:30	 2:0	 3:101135	 4:0	 5:13	 6:2	 7:4	 8:3	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
