1	 1:39	 2:5	 3:77516	 4:0	 5:13	 6:2	 7:8	 8:3	 9:0	 10:1	 11:2174	 12:0	 13:40	 14:0
1	 1:50	 2:1	 3:83311	 4:0	 5:13	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:13	 14:0
1	 1:38	 2:0	 3:215646	 4:3	 5:9	 6:1	 7:6	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:53	 2:0	 3:234721	 4:2	 5:7	 6:0	 7:6	 8:2	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:28	 2:0	 3:338409	 4:0	 5:13	 6:0	 7:5	 8:0	 9:4	 10:0	 11:0	 12:0	 13:40	 14:11
1	 1:37	 2:0	 3:284582	 4:10	 5:14	 6:0	 7:4	 8:0	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:49	 2:0	 3:160187	 4:7	 5:5	 6:5	 7:2	 8:3	 9:4	 10:0	 11:0	 12:0	 13:16	 14:17
0	 1:52	 2:1	 3:209642	 4:3	 5:9	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:45	 14:0
0	 1:31	 2:0	 3:45781	 4:10	 5:14	 6:2	 7:5	 8:3	 9:0	 10:0	 11:14084	 12:0	 13:50	 14:0
0	 1:42	 2:0	 3:159449	 4:0	 5:13	 6:0	 7:4	 8:2	 9:0	 10:1	 11:5178	 12:0	 13:40	 14:0
0	 1:37	 2:0	 3:280464	 4:1	 5:10	 6:0	 7:4	 8:2	 9:4	 10:1	 11:0	 12:0	 13:80	 14:0
0	 1:30	 2:5	 3:141297	 4:0	 5:13	 6:0	 7:5	 8:2	 9:1	 10:1	 11:0	 12:0	 13:40	 14:6
1	 1:23	 2:0	 3:122272	 4:0	 5:13	 6:2	 7:8	 8:1	 9:0	 10:0	 11:0	 12:0	 13:30	 14:0
1	 1:32	 2:0	 3:205019	 4:5	 5:12	 6:2	 7:3	 8:3	 9:4	 10:1	 11:0	 12:0	 13:50	 14:0
0	 1:40	 2:0	 3:121772	 4:6	 5:11	 6:0	 7:1	 8:2	 9:1	 10:1	 11:0	 12:0	 13:40	 14:999999
1	 1:34	 2:0	 3:245487	 4:8	 5:4	 6:0	 7:10	 8:2	 9:2	 10:1	 11:0	 12:0	 13:45	 14:19
1	 1:25	 2:1	 3:176756	 4:3	 5:9	 6:2	 7:9	 8:1	 9:0	 10:1	 11:0	 12:0	 13:35	 14:0
1	 1:32	 2:0	 3:186824	 4:3	 5:9	 6:2	 7:7	 8:5	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:38	 2:0	 3:28887	 4:2	 5:7	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
0	 1:43	 2:1	 3:292175	 4:10	 5:14	 6:1	 7:4	 8:5	 9:0	 10:0	 11:0	 12:0	 13:45	 14:0
0	 1:40	 2:0	 3:193524	 4:13	 5:16	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
1	 1:54	 2:0	 3:302146	 4:3	 5:9	 6:3	 7:2	 8:5	 9:4	 10:0	 11:0	 12:0	 13:20	 14:0
1	 1:35	 2:3	 3:76845	 4:7	 5:5	 6:0	 7:9	 8:2	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:43	 2:0	 3:117037	 4:2	 5:7	 6:0	 7:10	 8:2	 9:0	 10:1	 11:0	 12:2042	 13:40	 14:0
1	 1:59	 2:0	 3:109015	 4:3	 5:9	 6:1	 7:0	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
0	 1:56	 2:4	 3:216851	 4:0	 5:13	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
